datetime,open,high,low,close,volume
2025-09-17 12:00:00,1.1,1.6625,1.1,1.5811,0.0
2025-09-17 16:00:00,1.5795,2.0175,1.472,1.8545,0.0
2025-09-17 20:00:00,1.8532,3.2,1.8023,2.7815,0.0
2025-09-18 00:00:00,2.7797,3.6399,2.55,2.8124,0.0
2025-09-18 04:00:00,2.8123,2.88,2.2071,2.376,0.0
2025-09-18 08:00:00,2.3754,2.5963,2.3014,2.3596,0.0
2025-09-18 12:00:00,2.3599,2.77,2.3473,2.4739,0.0
2025-09-18 16:00:00,2.4745,2.9538,2.4542,2.6883,0.0
2025-09-18 20:00:00,2.6884,2.886,2.57,2.8067,0.0
2025-09-19 00:00:00,2.8069,2.9,2.5226,2.6178,0.0
2025-09-19 04:00:00,2.6175,2.8,2.5792,2.7321,0.0
2025-09-19 08:00:00,2.7323,3.01,2.6763,2.7723,0.0
2025-09-19 12:00:00,2.7722,2.895,2.7328,2.8411,0.0
2025-09-19 16:00:00,2.8411,2.8584,2.6074,2.6694,0.0
2025-09-19 20:00:00,2.6696,2.95,2.669,2.7694,0.0
2025-09-20 00:00:00,2.7693,2.853,2.652,2.7639,0.0
2025-09-20 04:00:00,2.7634,2.8337,2.67,2.787,0.0
2025-09-20 08:00:00,2.7858,2.8494,2.6877,2.7009,0.0
2025-09-20 12:00:00,2.7007,2.85,2.688,2.7626,0.0
2025-09-20 16:00:00,2.7626,2.8055,2.61,2.6547,0.0
2025-09-20 20:00:00,2.654,2.7531,2.62,2.6399,0.0
2025-09-21 00:00:00,2.6403,2.6641,2.4817,2.4917,0.0
2025-09-21 04:00:00,2.4917,2.5542,2.3448,2.3794,0.0
2025-09-21 08:00:00,2.3804,3.4064,2.2538,3.0005,0.0
2025-09-21 12:00:00,3.0008,3.5687,2.861,3.3006,0.0
2025-09-21 16:00:00,3.3002,3.44,2.95,3.311,0.0
2025-09-21 20:00:00,3.3093,3.65,3.11,3.153,0.0
2025-09-22 00:00:00,3.153,3.7365,3.0347,3.6397,0.0
2025-09-22 04:00:00,3.6397,3.766,2.92,3.6461,0.0
2025-09-22 08:00:00,3.7154,6.6666,3.1181,5.4583,3726151.0
2025-09-22 12:00:00,5.4584,5.6256,4.1842,4.9117,4301868.0
2025-09-22 16:00:00,4.9016,5.1813,4.135,4.6018,1360589.0
2025-09-22 20:00:00,4.6034,4.773,4.3356,4.7488,601736.0
2025-09-23 00:00:00,4.74,7.0744,4.506,6.0169,2882060.0
2025-09-23 04:00:00,6.0104,6.252,5.5357,5.7614,869700.0
2025-09-23 08:00:00,5.7838,5.99,5.238,5.4416,881250.0
2025-09-23 12:00:00,5.4188,5.9701,5.1236,5.2099,584062.0
2025-09-23 16:00:00,5.2102,5.606,4.96,5.4028,385434.0
2025-09-23 20:00:00,5.4103,5.827,5.1974,5.739,562627.0
2025-09-24 00:00:00,5.7178,5.8289,5.2661,5.3027,768123.0
2025-09-24 04:00:00,5.2796,5.5332,5.0272,5.4643,473693.0
2025-09-24 08:00:00,5.4643,5.4728,4.831,4.9138,399111.0
2025-09-24 12:00:00,4.9074,5.0352,4.8344,4.9872,451342.0
2025-09-24 16:00:00,4.9872,5.1661,4.8023,5.0606,270185.0
2025-09-24 20:00:00,5.052,5.1004,4.8915,4.9884,194665.0
2025-09-25 00:00:00,4.9893,4.9895,4.2247,4.2788,473029.0
2025-09-25 04:00:00,4.2704,4.379,4.0239,4.0647,405778.0
2025-09-25 08:00:00,4.0643,4.0893,3.82,3.8396,279301.0
2025-09-25 12:00:00,3.8375,3.8595,3.6243,3.7499,343414.0
2025-09-25 16:00:00,3.7321,3.9119,3.684,3.7512,493035.0
2025-09-25 20:00:00,3.7532,3.9268,3.6287,3.8637,302568.0
2025-09-26 00:00:00,3.8646,4.28,3.82,3.931,804885.0
2025-09-26 04:00:00,3.9276,4.0373,3.762,3.9905,318902.0
2025-09-26 08:00:00,4.0,4.0511,3.6221,3.7185,301814.0
2025-09-26 12:00:00,3.7138,3.7152,3.3169,3.4055,227356.0
2025-09-26 16:00:00,3.395,3.6427,3.3807,3.5651,210517.0
2025-09-26 20:00:00,3.5799,3.7403,3.5551,3.6665,109595.0
2025-09-27 00:00:00,3.6728,3.749,3.564,3.6511,77995.0
2025-09-27 04:00:00,3.6479,3.9714,3.6479,3.8126,130277.0
2025-09-27 08:00:00,3.8291,3.8584,3.4711,3.4902,56226.0
2025-09-27 12:00:00,3.4866,3.6671,3.4475,3.5809,75112.0
2025-09-27 16:00:00,3.577,3.6787,3.4696,3.6327,46608.0
2025-09-27 20:00:00,3.6099,3.7467,3.5774,3.71,48303.0
2025-09-28 00:00:00,3.7186,3.7672,3.5045,3.6239,42482.0
2025-09-28 04:00:00,3.6276,3.6608,3.4456,3.5448,58208.0
2025-09-28 08:00:00,3.534,3.5878,3.4362,3.5776,50326.0
2025-09-28 12:00:00,3.5978,3.66,3.537,3.6084,60267.0
2025-09-28 16:00:00,3.5987,3.864,3.558,3.6469,84587.0
2025-09-28 20:00:00,3.6593,3.8126,3.6567,3.7336,53618.0
2025-09-29 00:00:00,3.7213,3.7223,3.5165,3.6846,88072.0
2025-09-29 04:00:00,3.6867,3.777,3.6041,3.647,73314.0
2025-09-29 08:00:00,3.6678,3.6678,3.3662,3.4181,53785.0
2025-09-29 12:00:00,3.4202,3.4202,2.8413,2.8548,268522.0
2025-09-29 16:00:00,2.8545,2.9537,2.6953,2.8966,314388.0
2025-09-29 20:00:00,2.8989,3.015,2.841,2.8598,513911.0
2025-09-30 00:00:00,2.8586,2.8735,2.618,2.6646,353048.0
2025-09-30 04:00:00,2.6714,2.772,2.6216,2.6573,270793.0
2025-09-30 08:00:00,2.6626,2.7882,2.5175,2.5744,279244.0
2025-09-30 12:00:00,2.5732,2.5924,2.3867,2.422,176063.0
2025-09-30 16:00:00,2.4222,2.5142,2.3793,2.4338,392593.0
2025-09-30 20:00:00,2.4393,2.5601,2.4036,2.5159,392903.0
2025-10-01 00:00:00,2.5147,2.9866,2.4979,2.7322,1143911.0
2025-10-01 04:00:00,2.7199,2.7798,2.5846,2.6779,593657.0
2025-10-01 08:00:00,2.6755,2.75,2.5866,2.645,500070.0
2025-10-01 12:00:00,2.6443,2.7063,2.606,2.685,230397.0
2025-10-01 16:00:00,2.6859,2.7651,2.6428,2.7245,183040.0
2025-10-01 20:00:00,2.7296,2.8132,2.664,2.7569,212231.0
2025-10-02 00:00:00,2.758,2.8358,2.711,2.7442,184863.0
2025-10-02 04:00:00,2.7461,2.7816,2.6772,2.7084,145743.0
2025-10-02 08:00:00,2.7117,2.744,2.6812,2.7204,109077.0
2025-10-02 12:00:00,2.7232,2.7232,2.4871,2.676,223889.0
2025-10-02 16:00:00,2.6676,2.7559,2.6308,2.7135,78744.0
2025-10-02 20:00:00,2.7148,2.728,2.6569,2.6989,212919.0
2025-10-03 00:00:00,2.7,3.0984,2.665,2.8642,432811.0
2025-10-03 04:00:00,2.8618,3.1044,2.801,3.0231,256513.0
