entry_time,exit_time,side,exit_reason,beta,entry_z,exit_z,eth_qty,btc_qty,entry_eth,exit_eth,entry_btc,exit_btc,gross_pnl,funding_pnl,fee_cost,slippage_cost,net_pnl,holding_bars
2024-02-12 15:00:00,2024-02-13 00:00:00,SHORT_SPREAD,MEAN_REVERT,0.6755399661041812,2.874161080083062,0.25929403838131726,8.740752619346878,0.3056907056491144,2527.12,2660.91,48813.9,49943.6,-824.086502770615,1.4333950445837158,30.214614669957037,15.107307334978518,-867.9750297309669,9
2024-02-13 15:00:00,2024-02-13 16:00:00,LONG_SPREAD,MEAN_REVERT,0.7746140731518085,-1.5927870119963004,1.4559553123704252,0.8712212094984741,0.03650112711038615,2634.64,2632.72,48711.2,48753.2,-3.2057920608733523,-0.0517340544493618,3.258638481280561,1.6293192406402806,-8.145483837243555,1
2024-02-14 05:00:00,2024-02-16 05:00:00,LONG_SPREAD,TIME_STOP,0.7672227197788773,-1.8013703119798685,-1.337671407324912,1.178939619783656,0.04811514792531058,2627.64,2839.78,49396.6,52152.9,117.48046871437145,-0.7425516741383131,4.532730908095553,2.2663654540477767,109.93882067808981,48
2024-02-16 16:00:00,2024-02-18 04:00:00,LONG_SPREAD,MEAN_REVERT,1.0129673353555801,-2.936615434778675,-0.4696770010909882,6.6254057399825745,0.35909410093953525,2777.44,2783.9,51909.2,51518.0,183.27773336783284,1.9235101590242056,29.59449254187528,14.79724627093764,140.80950471404412,36
2024-02-18 22:00:00,2024-02-19 18:00:00,LONG_SPREAD,MEAN_REVERT,1.1246139516949512,-1.6962757960033938,-0.03642928319324415,0.2836868987946729,0.017510935858405963,2848.32,2945.32,51894.6,52188.4,22.37291622788355,0.26633925799442254,1.3864682005132947,0.6932341002566473,20.55955318510803,20
2024-02-20 15:00:00,2024-02-22 15:00:00,LONG_SPREAD,TIME_STOP,1.2050199540701556,-2.0284394323225587,-1.3124771015771777,0.513733846981862,0.03495795836098217,2940.89,2966.86,52079.3,51405.1,36.91032353309342,-0.08297908269777499,2.661045792287328,1.330522896143664,32.835775761964655,48
2024-02-24 14:00:00,2024-02-25 10:00:00,LONG_SPREAD,MEAN_REVERT,1.4351315424675304,-1.7977824424246729,-0.20853648534652708,0.9270914022170651,0.0771788498820662,2968.04,3022.28,51166.5,51671.4,11.317836350798494,0.0010871785465305095,5.396194005926347,2.6980970029631735,3.224632520455504,20
2024-02-25 15:00:00,2024-02-25 21:00:00,SHORT_SPREAD,MEAN_REVERT,1.3741955797758743,1.5060880139197688,-0.31635569335884345,0.5050173290558144,0.04114984931546996,3070.28,3102.71,51780.3,51777.8,-16.480586604568654,0.006386168793960478,2.951546852993849,1.4757734264969244,-20.90152071526547,6
2024-02-26 03:00:00,2024-02-26 17:00:00,LONG_SPREAD,STOP_LOSS,1.5529302870504298,-2.429591280136818,4.501124163029832,0.8288353280544486,0.07743356169824063,3095.8,3156.57,51459.3,53438.9,-102.91915585196821,0.9582046361367613,5.321930552720872,2.660965276360436,-109.94384704491276,14
2024-02-27 00:00:00,2024-02-29 00:00:00,SHORT_SPREAD,TIME_STOP,0.9207976530435867,2.9784932360491636,0.6204381875469095,6.335313419941751,0.340156255222677,3178.6,3387.07,54511.7,62487.9,1392.4315342518591,4.019448955696738,32.55748922418403,16.278744612092016,1347.61474937128,48
