datetime,open,high,low,close,volume,adx
2025-09-02 17:00:00,110745.7,111000.0,110579.0,110853.8,4189.192,
2025-09-02 18:00:00,110853.8,110890.7,110118.5,110584.1,6333.183,
2025-09-02 19:00:00,110584.0,110792.1,110390.2,110742.9,3120.802,
2025-09-02 20:00:00,110742.9,111373.4,110650.8,111356.1,5655.118,
2025-09-02 21:00:00,111356.1,111487.9,111066.0,111066.1,3291.78,
2025-09-02 22:00:00,111066.1,111216.2,110812.4,111216.1,3957.976,
2025-09-02 23:00:00,111216.1,111230.7,110958.5,111188.0,1659.283,
2025-09-03 00:00:00,111187.9,111732.9,111173.2,111283.2,5273.108,
2025-09-03 01:00:00,111283.1,111346.4,110842.7,111120.0,3487.045,
2025-09-03 02:00:00,111120.0,111442.2,110972.3,111327.9,3149.336,
2025-09-03 03:00:00,111327.9,111358.0,110844.0,110991.7,2770.224,
2025-09-03 04:00:00,110991.8,111117.5,110783.6,110966.7,2112.534,
2025-09-03 05:00:00,110966.7,111022.7,110613.2,110647.6,2261.177,
2025-09-03 06:00:00,110647.6,110843.0,110523.0,110676.6,3057.494,
2025-09-03 07:00:00,110676.5,111065.5,110486.9,111041.5,3685.839,
2025-09-03 08:00:00,111041.4,111221.0,110923.0,110974.9,3159.461,
2025-09-03 09:00:00,110974.8,111283.6,110843.0,111261.2,2448.686,
2025-09-03 10:00:00,111261.2,111438.0,111112.9,111402.0,2668.675,
2025-09-03 11:00:00,111402.0,111670.0,111338.5,111391.6,3613.606,
2025-09-03 12:00:00,111391.6,111831.4,110966.8,111051.0,6470.858,
2025-09-03 13:00:00,111051.0,111869.8,111011.3,111409.4,10528.245,
2025-09-03 14:00:00,111409.4,112470.5,111047.6,112208.3,19193.727,
2025-09-03 15:00:00,112208.8,112334.7,111850.0,112168.6,6775.076,
2025-09-03 16:00:00,112168.5,112296.8,111626.0,111810.0,5078.095,
2025-09-03 17:00:00,111809.9,112541.2,111800.0,112251.8,5869.245,
2025-09-03 18:00:00,112251.8,112467.4,111740.9,111952.8,3678.628,
2025-09-03 19:00:00,111952.9,112183.4,111724.1,112139.9,2812.958,13.485119011299764
2025-09-03 20:00:00,112140.0,112196.8,111984.4,112166.8,1669.437,15.161854760233606
2025-09-03 21:00:00,112166.8,112207.1,111700.0,111936.6,1643.634,15.826606613419033
2025-09-03 22:00:00,111936.6,112093.5,111777.7,111899.9,1496.147,14.957827978924694
2025-09-03 23:00:00,111899.9,111935.7,111550.9,111659.8,2601.186,13.630639595896216
2025-09-04 00:00:00,111659.7,112136.8,111556.0,112015.4,2951.43,13.467927046913456
2025-09-04 01:00:00,112015.3,112027.9,111580.7,111900.0,1917.071,13.125476182322501
2025-09-04 02:00:00,111899.9,111930.0,111344.9,111409.6,4384.497,12.793619541516685
2025-09-04 03:00:00,111409.6,111678.7,111081.1,111107.1,5644.09,13.287334832047666
2025-09-04 04:00:00,111107.1,111283.7,110853.4,110870.8,3907.09,17.105810264657208
2025-09-04 05:00:00,110870.9,110880.0,110517.2,110613.3,7660.784,19.851482143906022
2025-09-04 06:00:00,110613.3,110683.6,110237.2,110350.0,5261.595,23.70195390878508
2025-09-04 07:00:00,110349.9,110598.4,110299.7,110417.3,3889.4,27.82994215449846
2025-09-04 08:00:00,110417.3,110800.0,110366.0,110595.3,4062.453,30.700587310739014
2025-09-04 09:00:00,110595.4,110818.6,110595.4,110764.1,2233.183,32.88639331166803
2025-09-04 10:00:00,110764.1,111111.0,110561.2,110569.0,4277.971,33.35963599314108
2025-09-04 11:00:00,110568.9,111009.5,110478.9,110763.9,4273.216,35.055658087230356
2025-09-04 12:00:00,110763.8,111081.6,110463.8,110887.6,4781.847,36.78228863564714
2025-09-04 13:00:00,110888.8,110931.9,110150.0,110421.2,6580.733,39.186598923198645
2025-09-04 14:00:00,110421.2,110486.0,109655.4,109799.9,12600.353,42.99491321303998
2025-09-04 15:00:00,109800.0,109826.8,109269.1,109448.0,9349.266,47.066571448222035
2025-09-04 16:00:00,109448.0,109648.7,109315.0,109384.9,4463.608,51.22356246309745
2025-09-04 17:00:00,109384.8,109876.9,109372.5,109728.3,4768.35,53.30313769916934
2025-09-04 18:00:00,109728.4,110150.0,109632.5,109918.6,5516.407,50.522876328114826
2025-09-04 19:00:00,109918.7,110063.0,109648.6,109753.9,3056.603,47.30107978851184
2025-09-04 20:00:00,109753.9,110370.0,109702.8,110350.0,3454.519,43.69947029628387
2025-09-04 21:00:00,110350.0,110500.0,110265.6,110445.8,1513.533,38.90758210059003
2025-09-04 22:00:00,110445.8,111560.0,110427.1,111454.9,8280.779,36.88166915697805
2025-09-04 23:00:00,111454.9,111743.8,110541.2,110679.4,7471.591,35.190412005271675
2025-09-05 00:00:00,110679.5,110893.5,110394.2,110418.0,4272.714,34.05189056784366
2025-09-05 01:00:00,110418.0,111098.3,110405.5,111079.9,3129.486,33.793576691627834
2025-09-05 02:00:00,111079.9,111444.1,110992.8,111297.7,5087.695,34.01180554358286
2025-09-05 03:00:00,111297.7,111297.7,111040.5,111266.9,2329.756,35.023052725799865
2025-09-05 04:00:00,111267.0,111429.1,111086.2,111396.7,1806.698,36.24017651148316
2025-09-05 05:00:00,111396.8,111687.9,111361.1,111524.2,3135.78,38.729421670935245
2025-09-05 06:00:00,111524.2,111876.8,111448.4,111860.0,3660.55,41.29888558978475
2025-09-05 07:00:00,111860.0,112949.0,111831.7,112900.1,19603.479,45.128659931196275
2025-09-05 08:00:00,112900.0,112947.6,112559.3,112589.0,6454.835,50.23302439357116
2025-09-05 09:00:00,112589.0,112589.1,112080.0,112252.8,7505.547,54.53981300032801
2025-09-05 10:00:00,112252.8,112547.0,112143.7,112199.1,4636.353,58.99707843125411
2025-09-05 11:00:00,112199.2,112397.7,112085.9,112299.6,3613.537,63.08529566257279
2025-09-05 12:00:00,112299.6,113344.3,112000.0,113159.1,28456.112,65.5953809760821
2025-09-05 13:00:00,113159.0,113271.6,112642.4,113028.4,12850.379,67.73157254635336
2025-09-05 14:00:00,113028.4,113028.4,110440.0,110527.4,36245.316,66.39416007823385
2025-09-05 15:00:00,110527.3,110974.8,110240.0,110674.1,11144.796,64.22138963078017
2025-09-05 16:00:00,110674.1,110886.4,110485.3,110767.3,3936.916,62.30849225567986
2025-09-05 17:00:00,110767.3,110770.0,110153.3,110567.2,5428.736,59.865826533819764
2025-09-05 18:00:00,110567.1,111247.0,110521.7,111146.0,5084.28,55.1965466474606
2025-09-05 19:00:00,111146.1,111598.2,111072.0,111550.1,4603.475,48.7375246908512
