bar,bar_offset,pred_dir,actual_dir,dir_correct,pct_err,pred_vol,actual_vol,vol_ratio,close,rsi,trend,vol_pct
400,0,1,1,True,0.21757364529321818,618.0469,377.7100000000064,1.6363000052950398,69473.89,45.538917352515604,DOWNTREND,52.0
400,1,1,1,True,0.6120486620352252,578.9375,994.3500000000058,0.5822270830190542,70066.12,45.538917352515604,DOWNTREND,52.0
400,2,1,1,True,0.03595799731763472,786.6797,754.2900000000081,1.0429406295986843,69490.8,45.538917352515604,DOWNTREND,52.0
400,3,1,1,True,0.054914437733678455,776.71094,366.04999999998836,2.1218711583117735,69540.0,45.538917352515604,DOWNTREND,52.0
400,4,1,-1,False,1.4060765511801823,840.1719,1690.0099999999948,0.497140179643909,68464.0,45.538917352515604,DOWNTREND,52.0
400,5,-1,-1,True,2.455640842602472,722.25,1139.0,0.634108867427568,67570.18,45.538917352515604,DOWNTREND,52.0
424,0,1,1,True,0.0392862603675637,668.47656,509.9200000000128,1.310943996117005,67036.0,43.56431664984113,DOWNTREND,38.0
424,1,1,-1,False,1.2581758720930232,764.3281,1025.570000000007,0.745271531928581,66392.0,43.56431664984113,DOWNTREND,38.0
424,2,1,-1,False,2.6400618658236112,828.0703,1442.0,0.5742512569348127,65520.02,43.56431664984113,DOWNTREND,38.0
424,3,1,-1,False,1.8731629668346728,657.125,1147.520000000004,0.572647971277187,66043.99,43.56431664984113,DOWNTREND,38.0
424,4,1,-1,False,1.419542098606768,841.75,322.5,2.610077519379845,66267.87,43.56431664984113,DOWNTREND,38.0
424,5,1,-1,False,1.7101651043729362,925.53906,350.8600000000006,2.637915585988709,66076.99,43.56431664984113,DOWNTREND,38.0
448,0,1,-1,False,0.6514042086099807,918.875,650.0099999999948,1.413632097967735,65366.0,40.025902999227895,DOWNTREND,57.99999999999999
448,1,1,-1,False,1.7027618188421474,960.8828,1172.8499999999985,0.8192716992795338,64706.0,40.025902999227895,DOWNTREND,57.99999999999999
448,2,1,-1,False,2.439327187136468,781.89844,844.9100000000035,0.9254221603484356,64412.19,40.025902999227895,DOWNTREND,57.99999999999999
