variant,trades,return_pct,max_dd_pct,win_rate_pct,expectancy_pct,sharpe,monthly_est_pct,tp_rate_pct,sl_rate_pct,time_stop_rate_pct
with_atr_vol_filters,4.0,-2.2961196063846723,-4.442424843222023,25.0,-0.5658725739455108,-0.39037694366159387,-0.06019614788906891,25.0,75.0,0.0
prose_only_gates,8.0,-6.771066338249943,-6.771066338249948,25.0,-0.863867465700249,-1.037383136385215,-0.18158031989483625,12.5,75.0,12.5
