strategy,auto_invest_verdict,gate_reason_ja,trades,return_pct,max_dd_pct,win_rate_pct,expectancy_pct,expectancy_bps,sharpe,monthly_est_pct,tp_rate_pct,sl_rate_pct,time_stop_rate_pct
v2.0_OHLCV_proxy_CDS,REJECT,手数料後期待値<=0 (-0.010 bps/トレード),216.0,-0.13475176649131448,-4.0426851725282775,44.907407407407405,-0.00010185185184903681,-0.01018518518490368,-0.0026017832317505566,-0.003499746185053887,44.907407407407405,55.092592592592595,0.0
v2.1_min3_atr_vol_on,REJECT,取引数不足 n=10 < 80,10.0,-1.4673035881303087,-6.219033828038952,40.0,-0.13157061885601304,-13.157061885601305,-0.12984399483977882,-0.03831009686110498,40.0,60.0,0.0
v2.1_min3_filters_off,REJECT,取引数不足 n=21 < 80,21.0,-5.941038842808211,-6.854640029624824,38.095238095238095,-0.2773892808470384,-27.73892808470384,-0.4282577923221054,-0.15864278170253376,33.33333333333333,57.14285714285714,9.523809523809524
v2.1_w055_atr_vol_on,REJECT,取引数不足 n=4 < 80,4.0,-2.2961196063846723,-4.442424843222023,25.0,-0.5658725739455108,-56.58725739455108,-0.39037694366159387,-0.06019614788906891,25.0,75.0,0.0
v2.1_w055_filters_off,REJECT,取引数不足 n=8 < 80,8.0,-6.771066338249943,-6.771066338249948,25.0,-0.863867465700249,-86.3867465700249,-1.037383136385215,-0.18158031989483625,12.5,75.0,12.5
