bar,bar_offset,pred_dir,actual_dir,dir_correct,pct_err,pred_vol,actual_vol,rsi,trend,vol_pct,close
400,0,1,1,True,0.1175023271332591,615.875,377.7100000000064,45.538917352515604,DOWNTREND,52.0,69473.89
400,1,1,1,True,0.5071923491696063,674.7656,994.3500000000058,45.538917352515604,DOWNTREND,52.0,70066.12
400,2,1,1,True,0.0996939522929612,660.4531,754.2900000000081,45.538917352515604,DOWNTREND,52.0,69490.8
400,3,1,1,True,0.012627624388840956,632.3906,366.04999999998836,45.538917352515604,DOWNTREND,52.0,69540.0
400,4,1,-1,False,1.4608384515949988,794.46094,1690.0099999999948,45.538917352515604,DOWNTREND,52.0,68464.0
400,5,1,-1,False,2.753710568034608,812.60156,1139.0,45.538917352515604,DOWNTREND,52.0,67570.18
406,0,1,-1,False,1.1413760627334415,1528.6641,930.4900000000052,25.49057033756263,DOWNTREND,90.0,66890.01
406,1,1,-1,False,2.166012549272036,972.34375,1227.8800000000047,25.49057033756263,DOWNTREND,90.0,66244.48
406,2,1,-1,False,0.28583034242285077,949.41406,1425.3800000000047,25.49057033756263,DOWNTREND,90.0,67407.01
406,3,1,-1,False,0.46750509253316197,952.3281,414.3000000000029,25.49057033756263,DOWNTREND,90.0,67314.24
406,4,1,-1,False,0.5238235643182458,777.8828,691.1499999999942,25.49057033756263,DOWNTREND,90.0,67407.0
406,5,1,-1,False,0.4338322859718526,915.9531,428.91999999999825,25.49057033756263,DOWNTREND,90.0,67453.63
412,0,1,1,True,0.09030988914910981,1081.5625,705.9899999999907,41.67057135897698,DOWNTREND,72.0,67778.43
412,1,1,1,True,2.7294119439584708,853.3828,2263.0,41.67057135897698,DOWNTREND,72.0,69734.0
412,2,1,1,True,0.41115642193466795,1376.6641,2612.399999999994,41.67057135897698,DOWNTREND,72.0,67532.92
412,3,1,1,True,0.5995762736693316,1029.5703,1253.9300000000076,41.67057135897698,DOWNTREND,72.0,68263.99
412,4,1,1,True,0.5112277610028222,888.3828,1423.6500000000087,41.67057135897698,DOWNTREND,72.0,67474.94
412,5,1,1,True,0.19065345107649964,829.83594,429.1100000000006,41.67057135897698,DOWNTREND,72.0,67724.81
418,0,1,1,True,0.4911620521349276,1071.3984,803.1999999999971,45.590735081007686,DOWNTREND,2.0,67739.99
418,1,1,-1,False,2.3859881508969316,935.0781,2080.540000000008,45.590735081007686,DOWNTREND,2.0,66470.01
418,2,1,-1,False,1.9528633673858455,788.22656,828.3500000000058,45.590735081007686,DOWNTREND,2.0,66604.01
418,3,1,-1,False,1.8002071495653786,824.4922,449.1600000000035,45.590735081007686,DOWNTREND,2.0,66773.01
418,4,1,-1,False,1.7699156478484956,894.875,547.320000000007,45.590735081007686,DOWNTREND,2.0,66744.0
418,5,1,-1,False,1.7022924713526617,923.3125,513.5600000000122,45.590735081007686,DOWNTREND,2.0,66904.98
424,0,1,1,True,0.0778149986574378,793.9375,509.9200000000128,43.56431664984113,DOWNTREND,38.0,67036.0
424,1,1,-1,False,1.2812984809916856,740.0703,1025.570000000007,43.56431664984113,DOWNTREND,38.0,66392.0
424,2,1,-1,False,2.4671185425462374,873.21094,1442.0,43.56431664984113,DOWNTREND,38.0,65520.02
424,3,1,-1,False,1.8343039237938146,705.5781,1147.520000000004,43.56431664984113,DOWNTREND,38.0,66043.99
424,4,1,-1,False,1.511321587671378,934.21094,322.5,43.56431664984113,DOWNTREND,38.0,66267.87
424,5,1,-1,False,1.9839579367946312,1017.7422,350.8600000000006,43.56431664984113,DOWNTREND,38.0,66076.99
430,0,-1,1,False,0.6954284683568023,1187.1875,271.0200000000041,42.43795838859457,DOWNTREND,57.99999999999999,66319.95
